Prof Name,Course Number
Carolyn Atkins,GEOG 103
Kathy Peet,GEOG 103
Steven Marsh,GEOG 103
Mariano Mapili,GEOG 103
Jennifer Hetherington,GEOG 103
Kirsten Van Houten,GEOG 103
Mashhood Arif,GEOG 103
Nida Sheikh,GEOG 103
Afia Raja,GEOG 103
Cherie Enns,GEOG 103
Alesandros Glaros,GEOG 103
John Acharibasam,GEOG 103
Dali Klibadze,GERM 101
Dianna Kay,HALQ 101
Dallas James,HALQ 101
Mary Stewart,HALQ 101
Aleeta Sepass,HALQ 101
Moe Khaligh-Razavi,HCA 110
Scott Sheffield,HIST 100C
Sebastian Huebel,HIST 100C
Christopher Hyland,HIST 100C
Alessandro Tarsia,HIST 100C
Eiji Okawa,HIST 100C
Aleks Jovanovic,HIST 100C
Katherine Godfrey,HIST 100C
Larissa Horne,HIST 100C
Adrianna Bakos,HIST 100C
Ian Rocksborough-Smith,HIST 100C
Renette Aubin Boisclair,HSC 111
Susan Stoneson,HSC 111
Natasha Marriette,HSER 120
Jeffrey Wood,HSER 120
Sharnelle Matthew,HSER 120
Janit Doyle,HSER 120
Leanne Tielmann,HSER 120
Anna Griffith,INNV 100
Deb Alexander,IPK 100
Herbert Joe,IPK 100
Dr Lolehawk Laura Buker,IPK 100
Joe Sunami,JAPN 101
Satomi Knudsen,JAPN 101
Eric Spalding,JRNL 235
Alejandro Yoshizawa,JRNL 235
Carl Nienhuis,KIN 103
Iris Lesser,KIN 103
Kate Kloos,KIN 103
Luisa Giles,KIN 103
Cynthia Thomson,KIN 103
Landyn Hickmott,KIN 103
Brian Justin,KIN 103
Leslie Horita,KIN 103
Ryan Cook,KIN 103
Mark Rice,KIN 103
Karen Natho,KIN 103
Lauren Couture,KIN 103
Amanda Wurz,KIN 103
Amanpreet Sidhu,KIN 103
Jason Brandenburg,KIN 103
Amber Johnston,KIN 103
Alexander Villafranca,KIN 103
Yoshia Burton,KIN 103
Angela Wilkinson,KIN 103
Emilio Landolfi,KIN 103
Katherine Godfrey,LAS 161
Lynn Kleinveldt,LIBT 100
Smitty Miller,LIBT 100
Eric Spalding,MACS 110
Imran Munir,MACS 110
Gabriela Birnfeld Kurtz,MACS 110
Darren Blakeborough,MACS 110
Nawal Musleh-Motut,MACS 110
Rachel Toews,MATH 052
Stan Manu,MATH 052
Mohar Dey,MATH 052
Serhii Myroshnychenko,MATH 052
Andrew Staal,MATH 052
Tanner Boos,MATH 052
Eugene Yablonski,MATH 052
Cynthia Loten,MATH 052
SOF ENG PBD,MATH 052
Mandev Singh,MATH 052
Almaz Butaev,MATH 052
Isha Dhiman,MATH 052
Ben Vanderlei,MATH 052
Ruwan Karunanayaka,MATH 052
William Maher,MEDA 100
Marcel Casarini,MEDA 100
Carlos Vilchis,MEDA 100
Renette Aubin Boisclair,NURS 101
Susan Stoneson,NURS 101
Janelle Baerg,NURS 101
Sarah Johanson,NURS 101
Kirsten Van Houten,PACS 100
Alexander Pho,PHIL 100
August Faller,PHIL 100
Ethan Davis,PHIL 100
Gary Neels,PHIL 100
Glen Baier,PHIL 100
Anastasia Anderson,PHIL 100
Joseph Carew,PHIL 100
Dennis Papadopoulos,PHIL 100
Elmer Magsino,PHYS 083
Meena Sharma,PHYS 083
Mohammadreza Mallakzadeh,PHYS 083
Shahrazad Malek,PHYS 083
Alex Palameta,PHYS 083
Sabine Betts,PHYS 083
Mark Rempel,PHYS 083
Steven Esau,PHYS 083
Catherine Laflamme,PHYS 083
Tanner Boos,PHYS 083
Carmen Herman,PHYS 083
Marcus Sonier,PHYS 083
Jeff Chizma,PHYS 083
Peter Mulhern,PHYS 083
Susan Stoneson,PNUR 140
Debbie Jobb,PNUR 140
Colter Louwerse,POSC 100
Hamish Telford,POSC 100
Simon Lambek,POSC 100
Jessica Price,POSC 100
Edward Akuffo,POSC 100
Noah Schwartz,POSC 100
Shannon Wright,PSYC 101
Hasrat Dhillon,PSYC 101
Ryan Lundell-Creagh,PSYC 101
Joshua Black,PSYC 101
Richard Le Grand,PSYC 101
Rhonda Snow,PSYC 101
Andrea Albonico,PSYC 101
Wayne Podrouzek,PSYC 101
Alard Malek,PSYC 101
Dinesh Ramoo,PSYC 101
Diljot Kaur,PSYC 101
Joshua Starr,PSYC 101
Dianne Crisp,PSYC 101
Kevin Smith,PSYC 101
Madison Pesowski,PSYC 101
Alicia Spidel,PSYC 101
ONLINE UFV,PSYC 101
Zoe Francis,PSYC 101
Kristina Gicas,PSYC 101
Valentina Proietti,PSYC 101
Shawn Geniole,PSYC 101
Prabhsharanbir Singh,PUNJ 101
Alan Cameron,RUSS 101
Oksana Ivanenko,RUSS 101
Martha Dow,SOC 101
Stephen Piper,SOC 101
Adamu Kasa,SOC 101
Kathleen Rodgers,SOC 101
Darren Blakeborough,SOC 101
Dilsora Fozilova,SOC 101
Hassan Javid,SOC 101
Michael Corman,SOC 101
Alicia Horton,SOC 101
Eric Spalding,SOC 101
Amber Gazso,SOC 399Y
Dilsora Fozilova,SOC 399Y
Nicola Mooney,SOC 399Y
Tetsuro Shigematsu,SOCA 100
Candace Couse,SOCA 100
Anna Griffith,SOCA 100
Navita Senghera,SOWK 110
Meena Dhillon,SOWK 110
Shameela Zaman,SOWK 110
Rita Dhungel,SOWK 110
Kristina Kopp,SOWK 110
Natasha Mariette,SOWK 110
Darrell Fox,SOWK 110
Sharnelle Matthew,SOWK 110
Jeffrey Wood,SOWK 110
Brianna Strumm,SOWK 110
Beth Watters,SOWK 110
Christina Henderson,SOWK 110
Leah Douglas,SOWK 110
Teresa Arroliga-Piper,SPAN 101
Leysi Vanegas,SPAN 101
Ken Li,STAT 104
Longlong Huang,STAT 104
Tariq Nurddin,STAT 104
Gillian Mimmack,STAT 104
Ruwan Karunanayaka,STAT 104
Vahid Tadayon,STAT 104
Tariq Nuruddin,STAT 104
David Chu,STAT 104
Ali Reza Fotouhi,STAT 104
Nooshin Lary,STAT 104
Samuel Okegbile,STAT 104
Hannah Sanvido,TASK 051
Alexander Ferguson,THEA 101
Tetsuro Shigematsu,THEA 101
Jared Raschke,THEA 101
Sandra Ferens,THEA 101
Parjad Sharifi,THEA 101
Anna Griffith,THEA 101
Shelley Liebembuk,THEA 490
Shel Stefan,VA 100
Aimee Brown,VA 100
Deborah Silver,VA 100
Davida Kidd,VA 100
Melanie Jones,VA 100
Cody Tolmie,VA 100
Qahraman Yousif,VA 100
Toni Latour,VA 100
Anushray Singh,VA 100
Alejandro Yoshizawa,VA 100
Randall Steeves,VA 100
Candace Couse,VA 100
Chris Friesen,VA 100
