Prof Name,Course Number
Jordan Miller,RP 4835
Jordan Miller,RP 4921
Jordan Miller,RP 4936
Jordan Rudek,ENGL 1123
Jorge Puertovannetti,RP 4970
Jose Andres Lara Seedorf,DSGN 1255
Josephine Pascuzzi,ECON 1220
Julia Wong,BIOL 1111
Julia Wong,BIOL 1191
Julianne Beadle,PSYC 1115
Julianne Beadle,PSYC 2425
Justin Molander,FMGT 2294
Kaitlin Lovering,CHEM 1120
Kaitlin Lovering,CHEM 2222
Kameldeep Hundal,FSRV 1113
Kameldeep Hundal,RP 2329
Kameldeep Hundal,RP 2529
Katelyn Janzen,BIOL 1190
Katelyn Janzen,BIOL 1191
Katharine Browne,PHIL 1100
Katharine Browne,PHIL 1101
Katherine Davis,DSGN 1300
Kathleen Oliver,ENGL 1129
Katrina Erdos,GEOG 1155
Keith Dormond,SSRV 1117
Keith Dormond,SSRV 2000
Kelin Emmett,PHIL 1100
Kelin Emmett,PHIL 1104
Kelin Emmett,PHIL 1105
Kenneth Naumann,BIOL 1115
Kenneth Naumann,BIOL 2450
Kenneth Wong,INTB 2000
Kenneth Wong,MARK 2430
Kenneth Wong,RP 4800
Kevin Bozek,CHEM 1114
Kevin Bozek,CHEM 1220
Kevin Bozek,CHEM 2216
Kevin Koonar,BUSM 1100
Kevin Koonar,RP 4850
Kevin Rey,RP 1114
Kevin Smith,DSGN 1156
Kevin Smith,RP 2054
"Kevin Smith, Eric Stewart",PHOT 1120
Kim Lam,CPSC 1280
Kim Lam,CPSC 2810
Koopa Hakimi,MATH 1171
Koopa Hakimi,MATH 1175
Koopa Hakimi,MATH 1275
Koopa Hakimi,MATH 2310
Kuan Yu (Eric) Chen,CHEM 1114
Kuan Yu (Eric) Chen,CHEM 1220
Kuan Yu (Eric) Chen,CHEM 2416
Kyra Janot,BIOL 1111
Kyra Janot,BIOL 2380
Lana Van Velthuizen,EXPE 4800
Language & Composition I,ENGL 1107
Lanie Fajardo,RP 2260
Lara Estlin,CMNS 1118
Lara Estlin,ENGL 1123
Laura Adams,PSYC 2318
Laura Adams,PSYC 2324
Leah Sharzer,ENGL 1123
Lealle Ruhl,POLI 1140
Lealle Ruhl,POLI 1145
Leanne Evans,KINS 1100
Leonard Tang,GEOG 1111
Leonard Tang,GEOG 1180
Leslie Burgess,EDAS 1100
Leslie Burgess,EDAS 1110
Leslie Burgess,EDAS 1220
"Leslie Burgess, Erin Yorke, Miranda Winn",EDAS 1111
Linda Dom,RP 4814
Linda Dom,RP 4824
Linda Dom,RP 4844
Lingyun Zhang,CHEM 1120
Lu Yu,RP 4850
Lu Yu,RP 4900
Lu Yu,RP 4910
Lucinda Atwood,BUSM 1500
Lucinda Atwood,BUSM 4805
Mahdad Khatirinejad,CPSC 2190
Mahdad Khatirinejad,MATH 1171
Mahdad Khatirinejad,MATH 2371
Maja Grubisic,KINS 2206
Maja Grubisic,STAT 1123
Manish Bhatia,MARK 1115
Manish Bhatia,MARK 2100
Manish Bhatia,MARK 4800
Manisha Singh,WMST 1116
"Manisha Singh, . TBA, Mike Smith-Cairns",CNST 1130
Manuela Klick,EXPE 4800
Marc Acherman,ENGL 1100
Marc Acherman,ENGL 1130
Marc Acherman,ENGL 2430
Marc Pope,RECR 1001
Marc Pope,RECR 1162
Marc Pope,RECR 1170
Marc Pope,RP 4270
Marcela Noriega,DSGN 1151
Margaret Evans,ECON 1220
Marianne Gianacopoulos,BUSM 2115
Marina Berti de Lima,ECED 1102
Mario Moniz de Sa,BIOL 1111
Mario Moniz de Sa,BIOL 2330
Mark Smith,GEOG 1190
Mark Smith,GEOL 1107
Martha Nelson-Flower,BIOL 2415
Martin Lee,BIOL 1190
Mary Peters,RP 3261
Mathematics Skill Development,MATH 1100
Matthew Bourke,APPL 5130
Mayra Tovar,PHYS 1118
Mayra Tovar,PHYS 1125
Megan Dunlop,RP 2261
Megan Hamilton,RP 4824
Melisa Hamilton,RP 3192
Melisa Lavallee,MATH 1271
Mersedeh Ghassemieh,MATH 1119
Michael Lo,DANA 4800
Michael Lo,STAT 4800
Mikaela Barnes,KINS 2030
Mikaela Barnes,KINS 2280
Mike Smith-Cairns,ENVS 2100
Mike Smith-Cairns,FMST 1105
"Mike Smith-Cairns, Collin Ho-Lun Li, Manisha Singh",FMST 1115
Milos Campbell,FINA 1120
Milos Campbell,FINA 1171
Mirabelle Tinio,FREN 1115
Mirabelle Tinio,FREN 1117
"Miranda Winn, Jennifer Erickson",RP 1211
Mumsy Ullattikulam,FMGT 1115
Mumsy Ullattikulam,FMGT 1215
Muntaseer Salahuddin,CPSC 1030
Muntaseer Salahuddin,CPSC 1160
Namamrta Page,RP 1114
Naomi Brand,RECR 2260
Nariko Takayanagi,ASIA 2115
Nariko Takayanagi,ASIA 2215
Natalie Purschwitz,RP 1220
Natalie Purschwitz,RP 2135
Natalie Purschwitz,RP 2160
Negar Kaviani,ECED 1118
Negar Kaviani,ECED 1214
Negar Kaviani,RP 1308
"Negar Kaviani, Marina Berti de Lima",RP 1119
Negin Saheb Javaher,SOCI 1121
Negin Saheb Javaher,SOCI 1195
Neil Mathur,BUSM 1100
Neil Mathur,BUSM 2200
Neil Mathur,RP 4810
Niall Christie,HIST 1195
Niall Christie,HIST 2250
Nicolas Noble,ENGL 1123
Nina Winham,BUSM 1200
Nina Winham,MARK 2400
Nooshin Lary,RP 4810
Nooshin Lary,RP 4820
Nooshin Lary,STAT 1181
Nora Franzova,MATH 1252
Nora Saona,BIOL 1111
Nora Saona,BIOL 1118
Noushine Afshar,PSYC 1115
Olga Josipovic,RP 3161
Olivia Li,NURS 5135
On Site Work,RP 4814
Paisley Mann,ENGL 1123
Paisley Mann,ENGL 1130
Paolo Prosperi,POLI 1100
Paolo Prosperi,POLI 1119
Paolo Prosperi,POLI 2250
Paravdip Dhaliwal,RP 2209
Patricia Woods,NURS 1109
Patrick de Sousa,NURS 1160
Patrick de Sousa,NURS 5115
Paul Brassard,RP 4961
Paul Brassard,RP 4997
Paul Sunga,RP 2292
Pauline Sumel,RP 4100
"Pauline Sumel, Alysha Pillay, Edmund Lee, Patricia Woods, Salima Bhanji",NURS 1163
"Pauline Sumel, Edmund Lee, Salima Bhanji, Suzanne Tytler",NURS 1163
Paulo Sgarbi,CHEM 1120
Paulo Sgarbi,CHEM 2316
Paulo Sgarbi,CHEM 3216
Pei Wang,KINS 1100
Pei Wang,KINS 1132
Peter Babiak,ENGL 1100
Peter Babiak,ENGL 1125
Peter Babiak,ENGL 1130
Peter Kletas,INTB 3500
Peter Vysek,DSGN 1100
Peter Vysek,RP 1253
Peter Vysek,RP 4905
Petti Fong,JOUR 1128
Petti Fong,JOUR 1200
Phil Mentacos,BCAP 1200
Phil Mentacos,BCAP 3100
Philip Grant,BUSM 1100
Philip Grant,INTB 3200
Philip Grant,RP 4810
Photographic Explorations,PHOT 1100
Photographic Explorations II,PHOT 1200
"Physcl Actvty, Hlth, and Wlns",KINS 2030
Pichmony Anhaouy,RP 4801
Pooja Kalsi,ECED 1315
Pooja Kalsi,RP 1318
Pooja Kalsi,RP 1319
"Prashant Kumar, Chinmaya Mahapatra",BINF 1100
"Prashant Kumar, Chinmaya Mahapatra",BINF 2100
"Prashant Kumar, Chinmaya Mahapatra",BINF 3100
"Prashant Kumar, Chinmaya Mahapatra",BINF 4100
Precalculus Mathematics,MATH 1170
Principles of Macroeconomics,ECON 1221
Principles of Microeconomics,ECON 1220
Professional Com in Cnd Contxt,CMNS 1114
Program Design,CPSC 1150
Qi Wen,STAT 1124
Qi Wen,STAT 1182
Qi Wen,STAT 3222
Quynh Nguyen,CPSC 4800
Rachel Kane,RP 2260
Rachel Kane,THEA 1150
Rachel Peter,ECED 1325
Racism & Ethnic Relations,SOCI 2210
Raelene Lang,KINS 1120
Raiomand Parsi-Feraidoonian,MATH 1100
Raiomand Parsi-Feraidoonian,MATH 1101
Raiomand Parsi-Feraidoonian,MATH 1150
Raiomand Parsi-Feraidoonian,MATH 1152
Ramjee Parajulee,POLI 1100
Ramjee Parajulee,POLI 1160
Rana Ahmad,PHIL 1105
Rana Ahmad,PHIL 2202
Rana Ahmad,PHIL 3200
Randip Bakshi,AHIS 1114
Randip Bakshi,AHIS 1214
Randip Bakshi,AHIS 1216
Randip Bakshi,AHIS 1301
Rawa Ibrahim,BIOL 1115
Rebecca Thiessen,RECR 1195
Reyla Lopez,NURS 1130
Reyla Lopez,NURS 5120
Reza Abbasi,RP 4930
Reza Abbasi,RP 4940
Reza Abbasi,RP 4945
Reza Etemadi,RP 4855
Richard Lam,JOUR 1168
Richard Lam,RP 2320
Richard Wong,PHYS 1125
Richard Wong,PHYS 1225
Richard Wong,RP 4885
Riley Craig,KINS 2252
Ritu Vinluan,BUSM 2115
Roat Lim,FSRV 4324
Roat Lim,NUTR 2112
Roat Lim,NUTR 2500
Robert Feenan,CRIM 1115
Robert Feenan,CRIM 1125
Robert Feenan,CRIM 1215
Robert Miller,MATH 1171
Robert Miller,MATH 2475
Robin Susanto,STAT 1124
Robin Susanto,STAT 2225
Robin Susanto,STAT 3225
Ronald Prasad,MARK 2000
Ronald Prasad,RP 4810
Ronald Shay,BUSM 2200
Ronald Shay,BUSM 3220
Ronald Shay,BUSM 4800
Ronald Shay,RP 4120
Ronald Shay,RP 4820
Ronald Shay,RP 4840
Rozmin Irani,KINS 2030
Rushdi Alsaleh,CPSC 1480
Ruth Bornau,ENGL 1107
Ryan Zier-Vogel,CPSC 1050
Ryan Zier-Vogel,CPSC 1160
Sahar Banisoltan,CPSC 1091
Salima Bhanji,NURS 1121
Sandra Friesen,ENGL 1123
Sandra Friesen,NURS 5130
Sandra Slade,ENGL 1100
Sandra Slade,ENGL 1123
Sara Beiggi,HSCI 1130
Sara Beiggi,HSCI 1195
Sara Beiggi,HSCI 2211
Sara Kramers,KINS 1160
Sara Thind,RP 2161
Sarah Desbiens,RP 3262
"Sarah Desbiens, Amandeep Turre, Elysia Turner, Sandeep Kainth, Satwinder Chahal",RP 3264
Sarah Richards,CMNS 1115
Sarah Richards,CMNS 4800
Sarah Richards,ENGL 1123
Sarah Richards,ENGL 2276
Science Literacy,RP 1114
Scott Kemp,FINA 1161
Scott Kemp,RP 2180
Scott McLean,ECON 1221
Scott McLean,ECON 2210
Sean Gray,CMNS 1114
Sean Gray,ENGL 1123
Sean Maschmann,HIST 1114
Sean Maschmann,HIST 1115
Sean Maschmann,HIST 1119
Sean Maschmann,HIST 1130
Sean Padley,EXPE 2300
Sean Padley,FSIE 2000
