Prof Name,Course Number
Satendra Mann,BLDG 0001
Michelle McMaster,BLDG 1008
Tony Bartko,BLDG 1825
Batya Wan,BLDG 1830
Clark Cummings,BLDG 1830
Rick Cheung,BLDG 1830
Robert Baker,BLDG 1830
Tony Bartko,BLDG 1830
Robert Baker,BLDG 1835
Henry Au,BLDG 2800
Vicky Wong,BLDG 2800
Wesley Macaulay,BLDG 2800
Wesley Macaulay,BLDG 2805
Sasa Stojanovic,BLDG 2915
Sasa Stojanovic,BLDG 2925
Phil Skipper,BLDG 2935
Ryan Walton,BLDG 2945
Ryan Grant,BLDG 3840
David Ngai,BLDT 1011
Rageey Youssef,BLDT 1021
Thomas Jang,BLDT 1031
Wayne Ng,BLDT 1031
James Iversen,BLDT 1041
Pedram Riahi,BLDT 1041
Laura Browne,BLDT 1051
Rou Golsheh,BLDT 1061
Laura Browne,BLDT 1091
David Ngai,BLDT 2011
Christopher Black,BLDT 2021
Christopher Black,BLDT 2061
Diane Grady,BLDT 2081
Anthony Chan,BMET 1107
Jenny Jin,BMET 5205
Corlea Smit,BSCH 6100
Rodrigo Mora,BSCI 9000
Danial Jahanara,BSCI 9020
Won Ohm,BSCI 9050
Won Ohm,BSCI 9060
Rodrigo Mora,BSCI 9170
Meredith Hannen-Tugwete,BSUS 1110
Alexandra Eady,BSUS 5130
Alan Shapiro,BSUS 5140
Tracey Kliesch,BSUS 5210
Rosemary Cooper,BSUS 5220
Meredith Hannen-Tugwete,BSUS 7400
Dave Lazenby,BSYS 1001
Ed Bosman,BSYS 1001
Fernando Garrido Ruiz-tagle,BSYS 1001
Juan Azmitia,BSYS 1001
Kaitlyn Minatozaki,BSYS 1001
Lenalda Sutherland,BSYS 1001
Denise Calvert,BSYS 2000
Eduardo Sanchez Martinez,BSYS 2000
Juan Azmitia,BSYS 2000
Kaitlyn Minatozaki,BSYS 2000
Denise Calvert,BSYS 2051
Anurag Pandey,BSYS 2061
Masoud Jalili,BSYS 2061
Ian Winter,BUSA 1005
Kishore Anand,BUSA 1005
Alexandra Yallouz,BUSA 1305
Leila Rahemtulla,BUSA 1305
Mark Nakamura,BUSA 1305
Olga Smeeth,BUSA 1305
Olivia McIvor,BUSA 1305
Sinan Caykoylu,BUSA 1305
Michelle Merkel,BUSA 1500
Cheryl Bell-Gadsby,BUSA 2005
Christina Stewart,BUSA 2005
Dana Higgins,BUSA 2005
Deacon Devlin,BUSA 2005
Dennis MacDougall-Purnell,BUSA 2005
Erica Bearss,BUSA 2005
Heidi Bachert-Burke,BUSA 2005
Ken Eng,BUSA 2005
Kishore Anand,BUSA 2005
Maria Kilina,BUSA 2005
Pierre Matthee,BUSA 2005
Edith Kirkpatrick,BUSA 2205
Kishore Anand,BUSA 2205
Rami Mustafa,BUSA 2705
Olga Smeeth,BUSA 2905
Alexandra Yallouz,BUSA 3105
Kathy Nolan,BUSA 3105
Mark Giltrow,BUSA 3105
Mark Giltrow,BUSA 3155
John Frazer,BUSA 3455
Bryan Price,BUSA 4705
Svitlana Kominko,BUSA 4705
Ulyana Kravchenko,BUSA 4705
Danielle Rockel,BUSA 4800
Erica Bearss,BUSA 4800
Ken Eng,BUSA 4800
Mary Ho,BUSA 4800
Christopher Gadsby,BUSA 7250
Leila Rahemtulla,BUSA 7250
Richard Miles,BUSA 7500
Adrienne Petersohn,BUSA 7900
Steve Yallouz,BUSA 7900
Rolly de Juan,CARD 1101
Diana Linnyk,CARD 1103
Diana Linnyk,CARD 1186
Andrew McConnell,CARD 1187
Rolly de Juan,CARD 1285
Cristina Scott,CARD 2201
Lucy Marchiori,CARD 2202
Cristina Scott,CARD 3252
Sandra Gilmour,CARD 3280
Lucy Marchiori,CARD 3330
Jen Kong,CARD 3360
Lisa Gowans,CARD 3365
Robin Wolfe,CARD 4203
Lucy Marchiori,CARD 4252
Macy Lao,CARD 4370
Jessica Le,CARD 5301
Robin Wolfe,CARD 5302
Robin Wolfe,CARD 5303
Jessica Le,CARD 5520
Robin Wolfe,CARD 6352
Robin Wolfe,CARD 6500
Robin Wolfe,CARD 6600
Robert Johnston,CARP 0100
Jennifer Wolf,CHEM 0108
Jessie Li,CINT 1210
David Chen,CITX 1110
Joutiar Ghaderyan,CITX 1110
David Hogg,CITX 1160
Jingjing Lount,CITX 1160
John Ali,CITX 2150
Rouzbeh Keshavarz,CITX 2200
Roger Gale,CITX 2210
Mohammed Farooq,CIVL 1120
Steven Zivin,CIVL 1121
Yao Hung Lan,CIVL 1160
Mohammed Farooq,CIVL 1580
Kanwar Bedi,CIVL 2122
Anna Ovanesova,CIVL 2140
Tim Murphy,CIVL 2151
James Webb,CIVL 3230
Bonnie Dumont,CLRK 1000
Inge Kassteen,CLRK 1005
Baljit Lashar,CLRK 1010
Eleise SMART,CLRK 1010
Rachael Hunter,CLRK 1015
Bonnie Dumont,CLRK 2000
Baljit Lashar,CLRK 2500
Bonnie Dumont,CLRK 2500
Meredith Hannen-Tugwete,CMGT 7190
Roman Goldmann,CMGT 7330
Libby Rowe,CMGT 7535
Deb Parliament,CMGT 8800
Deb Parliament,CMGT 8810
Joe Chamberland,CNST 1100
Diana Gerrard,COMP 0261
Diana Gerrard,COMP 0264
Kim Huie,COMP 0269
Erin McCaffrey,COMP 0285
Kim Huie,COMP 0379
Erin McCaffrey,COMP 0885
Erin McCaffrey,COMP 0985
Diana Gerrard,COMP 1002
Fraser Robertson,COMP 1002
Tony Sieben,COMP 1002
Jon Bantados,COMP 1011
Goran Ruzic,COMP 1114
Nabil Al-Rousan,COMP 1114
Simin Sadat Chavoshi Jolfaee,COMP 1114
Andre Coetzee,COMP 1288
Fariba Pacheleh,COMP 1288
Jason Wilder,COMP 1516
Mathew Linder,COMP 1516
Mike Mulder,COMP 1516
Alexander Volkov,COMP 1630
Ashok Pamu,COMP 1630
Patrick Guichon,COMP 1630
Jeff Parker,COMP 1850
Julie Niebel,COMP 2010
Jason Wilder,COMP 2121
Simin Sadat Chavoshi Jolfaee,COMP 2121
Jeff Parker,COMP 2132
Johnny Zhang,COMP 2132
Ahmad Chamy,COMP 2156
Lorin Gaertner,COMP 2156
Wouter De Raeve,COMP 2156
Donabel Santos,COMP 2256
Joanne Atha,COMP 2364
Jason Wilder,COMP 2501
Rana Al-Sammarraie,COMP 2501
Bob Langelaan,COMP 2511
Anca Datcu-Romano,COMP 2601
Jason Wilder,COMP 2601
Bob Langelaan,COMP 2701
Steven Ng,COMP 2766
Bob Langelaan,COMP 2801
Rahim Oraji,COMP 2825
Edward Rubuliak,COMP 2831
Frank Wegener,COMP 2831
Glen Elliott,COMP 2831
Edward Rubuliak,COMP 2833
Johnny Zhang,COMP 2853
Alexander Volkov,COMP 2854
Frederic Guo,COMP 2909
Armaan Dhanji,COMP 3012
Armaan Dhanji,COMP 3013
Christian Fenn,COMP 3015
Ahmad Chamy,COMP 3157
Arash Ghavami,COMP 3601
Charlie Blattler,COMP 3602
Alaa Alakari,COMP 3678
Saber Talazadeh,COMP 3679
Edison Sie,COMP 3682
Md Navid Bin Anwar,COMP 3704
Chi En Huang,COMP 3725
Frederic Guo,COMP 3761
Rouzbeh Keshavarz,COMP 3771
Anca Datcu-Romano,COMP 3829
Anca Datcu-Romano,COMP 3833
Patricia Moura,COMP 3839
Mike Mulder,COMP 3841
Prabhjot Lalli,COMP 4016
Pat McGee,COMP 4254
Frederic Guo,COMP 4603
D'Arcy Smith,COMP 7003
Alireza Davoodi,COMP 7012
Tejinder Randhawa,COMP 7031
Mirela Gutica,COMP 7035
Nabil Al-Rousan,COMP 7082
D'Arcy Smith,COMP 8005
D'Arcy Smith,COMP 8037
Sayyedhassan Shavarani,COMP 8042
Tejinder Randhawa,COMP 8575
Tejinder Randhawa,COMP 8800
Lee Achtemichuk,CTMX 0100
Megan Courtney,DIGH 7000
Caroline Frankfurter,DIGH 7100
Vash Ebbadi-Cook,DIGH 7200
Ahmad Chamy,DIGH 7250
Evelyne Liu,DIGH 7300
Vash Ebbadi-Cook,DIGH 7400
Glynda Rees,DIGH 7500
Daniel Anvari,DIGH 7600
Satendra Mann,DRFT 1000
Camlon Chau,ECON 1150
Charlene Richter,ECON 1150
Edward Kwok,ECON 1150
Michael Atkinson,ECON 1150
Rouzbeh Ghouchani,ECON 1150
Serge Tarasenko,ECON 1150
Ulyana Kravchenko,ECON 1150
William Shen,ECON 1150
Michael Atkinson,ECON 2100
Rouzbeh Ghouchani,ECON 2100
Serge Tarasenko,ECON 2100
William Shen,ECON 2100
Zuzana Fromm,ECON 2100
Michael Atkinson,ECON 2200
Serge Tarasenko,ECON 2200
Zuzana Fromm,ECON 2200
Richard Miles,ECON 5210
Charlene Richter,ECON 8550
Anayansi Cohen-Fernandez,ECOR 9100
James Slogan,ECOR 9110
Kelly Scott,ECOR 9140
James Slogan,ECOR 9170
Anayansi Cohen-Fernandez,ECOR 9301
Douglas Ransome,ECOR 9302
Zahra Tooyserkani,EENG 7000
Olga Petrov,EENG 8400
Zahra Tooyserkani,EENG 8405
Kerly Hitchcock,EENG 8410
Zahra Tooyserkani,EENG 8415
Kerly Hitchcock,EENG 8420
Zahra Tooyserkani,EENG 8430
Olga Petrov,EENG 8460
Nurul Islam,ELEX 0102
Hatem Zaki,ELEX 2001
Andrew McConnell,ELEX 7020
Maryam Heshmatzadeh,ELEX 7021
Gino Carrese,ELEX 7030
Gino Carrese,ELEX 7110
Muhammad Ahmed,ELEX 7230
Nurul Islam,ELEX 7240
George Lipski,ELEX 7250
Kathy Manson,ELEX 8170
Ali Palizban,ELEX 8270
Remya Sreenath,ELEX 8300
Myles Alphonso,ENAV 1030
Mujeeb Siddiqui,ENAV 1070
Sam Susanthan,ENAV 2070
Chris Gardiner,ENAV 2450
Chris Gardiner,ENAV 2475
Sam Susanthan,ENAV 2600
Rosalyn Skiffington,ENGR 4000
Pamela Moore,ENVH 4901
Michael Robinsmith,FIRE 1050
Michael Robinsmith,FIRE 2077
Michael Robinsmith,FIRE 2080
Michael Robinsmith,FIRE 2084
Michael Robinsmith,FIRE 2086
Dave Burgess,FIRE 2175
Barbara Fellnermayr,FMGT 1100
Bernadette Edwards,FMGT 1100
Gary Nitikman,FMGT 1100
Monty Chew,FMGT 1100
Murray Livergant,FMGT 1100
Chandan Johal,FMGT 1152
Israr Rahimi,FMGT 1152
Nitasha Naicker,FMGT 1152
Richard McCallum,FMGT 1152
Robin Day,FMGT 1152
Tim Edwards,FMGT 1152
Trevor Jones,FMGT 1540
David Rose,FMGT 1810
Barbara Fellnermayr,FMGT 2100
Murray Livergant,FMGT 2100
Peter Goel,FMGT 2100
Tim Edwards,FMGT 2100
Richard Wong,FMGT 2152
Juan Azmitia,FMGT 2701
Gevorg Grigoryan,FMGT 2711
Barbara Fellnermayr,FMGT 3110
Israr Rahimi,FMGT 3110
Michelle Miller,FMGT 3110
Sue Tsiang,FMGT 3110
Ron Messer,FMGT 3210
Susan Stuart,FMGT 3210
Tim Edwards,FMGT 3224
Henry Honda,FMGT 3310
Christopher Huang,FMGT 3410
Jaycee Bam,FMGT 3410
Jessie Yang,FMGT 3410
Raminder Pooni,FMGT 3410
Andrew Parkinson,FMGT 3510
Joe Ilsever,FMGT 3510
William Shen,FMGT 3555
Chris Gresat,FMGT 3600
Peter Goel,FMGT 3720
Ron McGregor,FMGT 4110
Trevor Jang,FMGT 4110
Randy Robinson,FMGT 4210
Susan Stuart,FMGT 4210
Harvey Yee,FMGT 4310
Nina Eckert,FMGT 4310
Jessie Yang,FMGT 4410
Malwinder Gill,FMGT 4410
Maryam Salahinejad,FMGT 4410
Joe Ilsever,FMGT 4510
William Shen,FMGT 4570
David Rose,FMGT 4620
Yasmin Alami,FMGT 4710
Pamela Maclean,FMGT 4810
Chris Gresat,FMGT 4911
Philip Jaling,FMGT 4915
Nadine Barrett,FMGT 7121
Vnit Nath,FMGT 7210
Fabienne Delibalta,FMGT 7510
Alaric de Souza,FMGT 7910
Tim Edwards,FMGT 8121
Matthew Haussmann,FMGT 8911
Keith Turner,FOOD 1026
Crystal Cinq-Mars Majerski,FOOD 1151
Crystal Cinq-Mars Majerski,FOOD 1179
Rebecca Robertson,FOOD 2151
Rebecca Robertson,FOOD 2161
Ryan Johnson,FSCT 7001
Alex Tyakoff,FSCT 7120
Brian Brown,FSCT 7215
Daniel Harris,FSCT 7240
Eva Ip,FSCT 7320
Ilia Lvovski,FSCT 7509
Bogdan Pirvoaica,FSCT 7511
Ilia Lvovski,FSCT 7512
Colin Harris,FSCT 7810
Aimee Falkenberg,FSCT 7840
Jason Moore,FSCT 8150
Kevin Soulsbury,FSCT 8156
Adrienne Law,FSCT 8250
Dom Toa,FSCT 8340
Brett Hallgren,FSCT 8350
Henry Wong,FSCT 8370
Steen Hartsen,FSCT 8371
Ken Schulz,FSCT 8430
Michelle Brander,FSCT 8431
Ken Schulz,FSCT 8432
Robert Schultz,FSCT 8434
Magda Marczak,FSCT 8436
Kiran Johal,FSCT 8438
Sara Lee,FSCT 8481
D'Arcy Smith,FSCT 8581
Dom Toa,FSCT 8611
Joe Ilsever,FSCT 8611
Siobhan Aspinall,FUND 1215
Siobhan Aspinall,FUND 2315
Barbara McMillan,FUND 2316
Dirk Erkau,GDES 1069
Negin Etemadi,GDES 1069
David Fan,GDES 1105
Omar Amini,GDES 1105
Negin Etemadi,GDES 1140
Omar Amini,GDES 1140
Ellie Fahimi,GDES 1195
Richard Te,GDES 1195
Carolina Becerra,GDES 1235
Omar Amini,GDES 1235
Giulia Bonforte,GDES 1255
Pauline Lai,GDES 1255
Andrew Sugianto,GDES 1270
Mahmoud Abdel-Hai,GDES 1270
Mahmoud Abdel-Hai,GDES 1275
Stephen Scheibel,GDES 1275
Tyler Higgs,GDES 1275
Mark Whitehead,GDES 2012
Dirk Erkau,GDES 2087
Shahab Pourtalebi,GDES 2088
Colette Parras,GDES 2125
Helen Eady,GDES 2135
Andrew Sugianto,GDES 2145
Carolina Becerra,GDES 2145
Pauline Lai,GDES 2150
Pauline Lai,GDES 2430
Rob Hewlett,GIST 7010
Christopher Wright,GIST 7100
Gurdeep Singh,GIST 7100
Naz Ali,GIST 7100
Scott Netherton,GIST 7108
Shannon Cox,GIST 7111
Mike Hill,GIST 7120
Tony Bonnici,GIST 7128
Rob Hewlett,GIST 7130
Rob Hewlett,GIST 7132
Naz Ali,GIST 7160
Shannon Cox,GIST 8106
Josh MacDougall,GIST 8118
Kim Hopkins,GIST 8128
Tony Bonnici,GIST 8140
Gurdeep Singh,GIST 8150
Agnelo Lucio Pereira,GMDS 1500
Chris Gardiner,GMDS 1500
Gary Shore,HDMX 0140
Shan Satoglu,HLED 7110
Shan Satoglu,HLED 7120
Shan Satoglu,HLED 7140
Shan Satoglu,HLED 8280
Adrian Hingston,HRMG 2805
Charles Dickens,HRMG 2805
Natalia Pashutina,HRMG 2805
Robert Miller,HRMG 2805
Christian Codrington,HRMG 3105
David Berrington,HRMG 3105
Dawne Bringeland,HRMG 3105
Dennis MacDougall-Purnell,HRMG 3105
Fred Moore,HRMG 3105
Kishore Anand,HRMG 3105
Pierce Dunne,HRMG 3105
Ritu Vinluan,HRMG 3105
Barbara Sharp,HRMG 3205
Karla Gonzalez,HRMG 3205
Marlize van Jaarsveld,HRMG 3205
Raf Jamil,HRMG 3205
Anthony Okuchi,HRMG 3305
Christian Codrington,HRMG 3305
Christina Stewart,HRMG 3305
Heidi Bachert-Burke,HRMG 3305
Kathy Nolan,HRMG 3305
Christina Stewart,HRMG 3315
Iren Heder,HRMG 3315
Alexandra Yallouz,HRMG 3505
Dea Lamparas,HRMG 3505
Iren Heder,HRMG 3505
Kathy Nolan,HRMG 3505
Pierce Dunne,HRMG 3505
Eduardo Cantu,HRMG 4145
David Berrington,HRMG 4155
Dawne Bringeland,HRMG 4155
Heidi Bachert-Burke,HRMG 4155
David Berrington,HRMG 4405
Dawne Bringeland,HRMG 4405
Heidi Bachert-Burke,HRMG 4405
Iren Heder,HRMG 4605
Christian Codrington,HRMG 6010
Robin Gibson,HVAC 0145
Alison Bell,INTD 1100
Joanne Crozier,INTD 1100
Robin Bailey,INTD 1100
Alison Bell,INTD 1120
Deanna Kilt,INTD 1120
Michael Jaszczewski,INTD 1140
Susan Ju,INTD 1140
Christine Boultbee,INTD 1160
Christine O Cheng,INTD 1160
June Fong,INTD 1180
Christine Boultbee,INTD 1360
Christine O Cheng,INTD 1360
Izabela Pudlak,INTD 2120
Jane Campbell,INTD 2120
Kristina Calero Horvath,INTD 2120
Deanna Kilt,INTD 2130
Joanne Crozier,INTD 2130
Christine O Cheng,INTD 2150
Susan Ju,INTD 2150
Christine O Cheng,INTD 2160
Ramin Parsakish,INTD 2160
Izabela Pudlak,INTD 2240
June Fong,INTD 2300
Kristina Calero Horvath,INTD 2300
Susan Ju,INTD 2300
Christine O Cheng,INTD 2360
Deanna Kilt,INTD 2360
Joanne Crozier,INTD 2375
Susan Ju,INTD 2375
Kristina Calero Horvath,INTD 2400
Taurra Boucher,INTD 3100
Deanna Kilt,INTD 3240
Ramin Parsakish,INTD 3260
Kristina Calero Horvath,INTD 3360
Eamonn Bourke,INTD 3460
Izabela Pudlak,INTD 4110
Deanna Kilt,INTD 4120
Manon Pace,INTD 4200
Kristina Calero Horvath,INTD 4320
Michael Jaszczewski,INTD 4360
Lori Burns,INTR 3170
Ramin Parsakish,INTR 3260
Ellie Miri,INTR 4000
Tami Riley,IPEA 7610
Tami Riley,IPEA 7620
Tami Riley,IPEA 7630
Doug Smith,JOIN 4350
Ashton Howley,LIBS 7001
Chris-Anne Stumpf,LIBS 7001
Hannah Watts,LIBS 7001
Marian Gracias,LIBS 7001
Robin Dahling,LIBS 7001
Sanja Garic-Komnenic,LIBS 7001
Stephen Ogden,LIBS 7001
Robert Munro,LIBS 7002
Simon Pollon,LIBS 7002
Stefan Lukits,LIBS 7002
Michael Coughlin,LIBS 7005
Tim Kosub,LIBS 7006
Stephen Ogden,LIBS 7007
Mazen Guirguis,LIBS 7008
Shulamit Gribov,LIBS 7017
Maira de Cinque,LIBS 7021
Mazen Guirguis,LIBS 7021
Stefano Pettenon,MACH 0110
Mustafa Sajid,MACH 1150
Marte Arreola,MACH 1151
Ashley Springer,MATH 0001
Goran Ruzic,MATH 0001
Harpreet Kaur,MATH 0007
Winona Cordua-von Specht,MATH 0060
Seyyed Hosseini,MATH 1060
Vahid Dabbaghian,MATH 1060
Mengdi Hua,MATH 1401
Julian Fekety,MATH 2001
Mengdi Hua,MATH 3060
Scott Hagan,MATH 4499
Mengdi Hua,MATH 7042
Julian Fekety,MATH 7808
Mark Whitehead,MDIA 1099
Janice Wood,MDIA 1205
Mahmoud Abdel-Hai,MDIA 1280
Mark Whitehead,MDIA 2099
Janice Wood,MDIA 2205
Conan Galloway,MDIA 2330
Tonia Sokolova,MDIA 2533
Ron Jacklin,MDIA 2540
Janice Wood,MDIA 3203
Mike Walton,MDIA 3207
Mike Walton,MDIA 3209
Mike Walton,MDIA 3210
Mike Walton,MDIA 3211
Conan Galloway,MDIA 3540
Janice Wood,MDIA 4207
Janice Wood,MDIA 4302
Mike Walton,MDIA 4305
Mike Walton,MDIA 4307
Janice Wood,MDIA 4311
Mike Walton,MDIA 4312
Janice Wood,MDIA 4325
Mike Walton,MDIA 4340
Janice Wood,MDIA 4500
Christopher Townsend,MECH 0106
Cyrus Raoufi,MECH 1000
Greg King,MECH 1000
Henry Chang,MECH 2240
Aladin Hafez,MEDI 1510
Aladin Hafez,MEDI 1810
Jamie Linn,MEOP 1001
Ireneusz Kuligowski,MERS 1005
Megan Kan,MIMG 7200
Stuart Brice,MIMG 7202
Stuart Brice,MIMG 7210
Hannah Langlais,MIMG 7220
Raman Samra,MIMG 7230
Hannah Langlais,MIMG 7240
Ray Lee,MIMG 8200
Russell Hartlaub,MINE 1100
Reza Tafti,MINE 1101
Aimee Epp,MKTG 1030
Angie Dosanjh,MKTG 1102
David Vidal-Cabeza,MKTG 1102
Eiman Abadi,MKTG 1102
Fair Gordon,MKTG 1102
Joseph Cuzzetto,MKTG 1102
Margaret Vicic,MKTG 1102
Mike Coates,MKTG 1102
Tom Chan,MKTG 1102
Rita Rogers,MKTG 1120
Darcy Hagan,MKTG 1122
Shawna McKinley,MKTG 1123
Rita Rogers,MKTG 1126
Cindy Ball,MKTG 1146
Erica Bearss,MKTG 1218
Eduardo Cantu,MKTG 1219
Gary Cadman,MKTG 1219
James Douglas,MKTG 1219
Meaghan Taylor,MKTG 1323
Michelle Rizzardo,MKTG 1323
Bryan Graziano,MKTG 1324
Erica Bearss,MKTG 1324
Danielle Wilson,MKTG 1352
David Vidal-Cabeza,MKTG 1352
Richard Haire,MKTG 1352
Samia Massoud,MKTG 1352
Stefanie Gajdecki,MKTG 1352
Angie Dosanjh,MKTG 1550
Rebecca Coleman,MKTG 1550
Danielle Wilson,MKTG 1552
Darren Dreger,MKTG 2029
Tom Chan,MKTG 2202
Donna Hooker,MKTG 2205
Marion De Guzman,MKTG 2220
Ian Chan,MKTG 2225
Megan Bunting Fox,MKTG 2324
Stefanie Gajdecki,MKTG 2324
Angela Crocker,MKTG 2352
Jeremy Mayer,MKTG 2452
Danielle Wilson,MKTG 2552
Megan Bunting Fox,MKTG 2552
Stefanie Gajdecki,MKTG 2652
Matt Shepherd,MKTG 2909
Tom Jopling,MKTG 2909
Alexandra Yallouz,MKTG 3113
Simon Chiu,MKTG 3113
Cheryl Brusic,MKTG 3218
Andre Lachlan,MKTG 3319
Rodan Gopaul-Singh,MKTG 3319
Fair Gordon,MKTG 3321
Loa Fridfinnson,MKTG 3325
Patricia Browne,MKTG 3325
Tracey Renzullo,MKTG 3325
Gary Cadman,MKTG 3332
Debbie Palmer,MKTG 3342
Chloe Perron,MKTG 3418
Clay Dube,MKTG 3554
Erica Halvorsen,MKTG 3554
Keith Hamilton,MKTG 3554
Jeremy Mayer,MKTG 4415
Danielle Wilson,MKTG 7100
Myles Alphonso,MSEC 1050
Ivan Pichugin,MSSM 1010
vamsi Bodapati,MSYS 2020
Glen D'Silva,MSYS 2050
Najmeh Komaei,MSYS 3070
Najmeh Komaei,MSYS 3075
Shervin Jannesar,MSYS 4091
Mujeeb Siddiqui,NAUT 1832
Sam Susanthan,NAUT 1850
Bruce Randall,NAUT 1862
Ivan Pichugin,NAUT 1863
Rabiul Shahid Ullah,NAUT 1869
Tuba Akar,NAUT 1874
Philip D'Sa,NAUT 1878
Joseph Cortese,NMED 0516
Izaaz Badshah,NMED 1117
Joseph Cortese,NMED 5160
Joseph Cortese,NMED 5161
Oliver Hamilton,NPMA 1800
Oliver Hamilton,NPMA 1850
Sarah Crowe,NSCC 7120
Lara Parker,NSCC 7150
Tatiana Rubalcava Vargas,NSCC 7150
Sarah Crowe,NSCC 7220
Sarah Crowe,NSCC 7320
Kristine Hughes,NSCC 7420
Lara Parker,NSCC 7520
Kristine Hughes,NSCC 7620
Adrienne Olszewski,NSER 7110
Tatiana Rubalcava Vargas,NSER 7210
Dawn Binns,NSER 7300
Tatiana Rubalcava Vargas,NSER 7410
Dawn Binns,NSER 7500
Sydney Shell,NSER 7610
Sydney Shell,NSER 7620
Sydney Shell,NSER 7630
Sydney Shell,NSER 7640
Tatiana Rubalcava Vargas,NSER 7800
Stephanie Yoon,NSHA 7055
Jean Dehaan,NSHA 7100
Teresa Gnoato,NSHA 7100
Jean Dehaan,NSHA 7125
Anita Wills,NSHA 7201
Jean Dehaan,NSHA 7300
Jean Dehaan,NSHA 7400
Angie Lee,NSNE 7100
Nicole Larsen,NSNE 7100
Annie Silveira,NSNE 7200
Annie Silveira,NSNE 7300
Annie Silveira,NSNE 7900
Angie Lee,NSNE 7911
Annie Silveira,NSNE 7920
Annie Silveira,NSNE 7940
Gurpreet Bains,NSNN 7200
Tony Chacon,NSNN 7200
Tony Chacon,NSNN 7300
Charlene Smith,NSNN 7400
Tony Chacon,NSNN 7400
Tony Chacon,NSNN 7420
Tony Chacon,NSNN 7425
Gurpreet Bains,NSNN 7500
Gurpreet Bains,NSNN 7600
Tony Chacon,NSNN 7700
Tara Hodgson,NSPE 7100
Tara Hodgson,NSPE 7200
Tara Hodgson,NSPE 7260
Tara Hodgson,NSPE 7270
Rachel Victor,NSPE 7280
